     anio              lenguaje  toxicity  severe_toxicity   obscene  identity_attack    insult    threat
190  2009            Portuguese  0.000635         0.000123  0.000176         0.000146  0.000176  0.000134
191  2009               Russian  0.000600         0.000125  0.000177         0.000145  0.000174  0.000137
192  2009               Spanish  0.000610         0.000124  0.000176         0.000145  0.000175  0.000134
193  2009               Swedish  0.000634         0.000122  0.000176         0.000144  0.000176  0.000133
194  2010               Catalan  0.000612         0.000124  0.000175         0.000145  0.000176  0.000135
195  2010                 Czech  0.000713         0.000115  0.000178         0.000142  0.000175  0.000126
196  2010                Danish  0.000661         0.000120  0.000179         0.000143  0.000177  0.000131
197  2010                 Dutch  0.000651         0.000121  0.000175         0.000144  0.000177  0.000132
198  2010               English  0.000662         0.000125  0.000182         0.000148  0.000180  0.000140
199  2010             Esperanto  0.000601         0.000124  0.000176         0.000145  0.000175  0.000132
200  2010               Finnish  0.000637         0.000122  0.000175         0.000144  0.000176  0.000133
201  2010                French  0.000595         0.000126  0.000175         0.000146  0.000177  0.000136
202  2010                German  0.000655         0.000120  0.000174         0.000145  0.000177  0.000132
203  2010                 Greek  0.000582         0.000129  0.000181         0.000145  0.000177  0.000140
204  2010             Hungarian  0.000661         0.000120  0.000180         0.000144  0.000175  0.000129
205  2010               Italian  0.000617         0.000123  0.000176         0.000145  0.000176  0.000133
206  2010              Japanese  0.000607         0.000125  0.000177         0.000144  0.000176  0.000135
207  2010                 Latin  0.000617         0.000123  0.000173         0.000145  0.000176  0.000134
208  2010             Norwegian  0.000632         0.000121  0.000174         0.000144  0.000177  0.000132
209  2010                Polish  0.000666         0.000120  0.000174         0.000146  0.000176  0.000131
210  2010            Portuguese  0.000628         0.000124  0.000176         0.000146  0.000176  0.000135
211  2010             Slovenian  0.000633         0.000121  0.000175         0.000145  0.000173  0.000132
212  2010               Spanish  0.000630         0.000123  0.000176         0.000145  0.000176  0.000133
213  2010               Swedish  0.000657         0.000121  0.000178         0.000144  0.000177  0.000132
214  2011               Catalan  0.000591         0.000127  0.000176         0.000147  0.000177  0.000138
215  2011                 Czech  0.000650         0.000119  0.000175         0.000143  0.000173  0.000130
216  2011                Danish  0.000669         0.000119  0.000180         0.000142  0.000177  0.000130
217  2011                 Dutch  0.000660         0.000121  0.000176         0.000145  0.000177  0.000133
218  2011               English  0.000687         0.000126  0.000192         0.000157  0.000187  0.000136
219  2011             Esperanto  0.000695         0.000120  0.000186         0.000144  0.000177  0.000130
220  2011               Finnish  0.000637         0.000122  0.000176         0.000145  0.000176  0.000134
221  2011                French  0.000595         0.000127  0.000177         0.000146  0.000177  0.000137
222  2011                German  0.000675         0.000120  0.000175         0.000145  0.000177  0.000132
223  2011                 Greek  0.000573         0.000129  0.000181         0.000145  0.000177  0.000138
224  2011               Italian  0.001156         0.000130  0.000623         0.000150  0.000219  0.000137
225  2011              Japanese  0.000616         0.000124  0.000176         0.000144  0.000176  0.000135
226  2011                 Latin  0.000640         0.000121  0.000175         0.000144  0.000175  0.000133
227  2011                Polish  0.000766         0.000116  0.000181         0.000145  0.000177  0.000128
228  2011            Portuguese  0.000616         0.000124  0.000176         0.000145  0.000176  0.000135
229  2011              Romanian  0.000620         0.000124  0.000173         0.000146  0.000175  0.000134
